Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Pompei, IX 8;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;1;;;;;;;;;;;6;;;;;;;1;;;1;4;;;;;389;;;;;;;;;;;
Vada Sabatia, layer V;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;1;2;;;;1;;;;;;;;;;;;;;;8;1;2;2;107;9;;1;;1;5;6;;;;;2;;;;;
Vada Sabatia, layers III-IV;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;2;3;;;;;2;1;1;;;;1;;;;1;;;;3;2;2;;99;7;;2;;;3;3;1;;;;3;4;;;;
Finale ligure, Pieve del Finale;Roman;Liguria;Northern Italy;R;Rural;Coast;1.0000;1;1;;1;;;;;;;;;;;513;;;;;;12;1;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 1st c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;1.0000;1;1;;1;;;;;;;;8;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 2nd-3rd c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;0.5000;2;3;;;1;;;;;;;8;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;
Mezzocorona, loc. Drei Canè;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Rural;Mountain;0.1429;-1;5;61;22;4;;53;;27;3;;62;8;;3;8;11;1;;;10;2;;;;144;;3;;;;;;;;;;1;;1;;
Bergamo, Palazzo del Podestà;Roman;Lombardia;Northern Italy;R;Urban;Hilltop;0.3333;-1;1;61;;5;4;15;6;;2086;;26;;;49;;173;;;;58;;1;;;;;;;;;;;;;;;;;;;
Ventimiglia, sito di Albintimilium;Roman;Liguria;Northern Italy;R;Urban;Coast;0.5000;2;3;;;;;;;;;;;;;1;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Case Nuove, Cinigiano, Phase 1.2;Roman;Toscana;Central Italy;R;Rural;Hill;1.0000;1;1;1;;;;1;;;;;2;5;;;;;;;;;;;;;10;;;;;9;;;;;;;;;;;
Aquileia, ex essiccatoio nord, 1st c. BCE - 1st c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;R;Urban;Coast;0.3333;-1;1;7;103;94;1;1;;5;;;289;;;;;1;;;22;28;20;;;383;14;;;;;2;1;;;;;8;;;8;4;
Padova, Borgomagno;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;;;;49;;;;;10;;;;;22;1;;;;60;19;;;;;;;;;;;;;;;;
Padova, Banca Etica;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;;;;1;;;;;;;;;;;;;;;21;1;;2;;12;15;;;;;;;;;;;
Verona, Porta Palio e Spianà;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;16;;;;;;1;4;;50;;;;2;;;;39;;;;;7;9;;;;;;;;;;;1;;;;;
Nave;Roman;Lombardia;Northern Italy;R;Necropolis;Mountain;0.2000;-1;3;22;;;;15;;;;;42;5;;36;;1;;;39;1;19;;1;3;5;;;1;1;12;;;;;;;;;;;
Manerbio, Cascina Trebeschi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;1;;;5;;46;;2;;;;;;2;56;9;;;;10;;2;;1;;;;;;;1;;;;1;
Bergamo, via degli Orti;Roman;Lombardia;Northern Italy;R;Necropolis;Hill;0.2000;-1;3;;;;;;;;;;;;;;;;;;1;2;5;;;;2;;;;;1;;;;;;1;;;;;
Mariano Comense, via T. Grossi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;1;;;;;1;;1;;;;;;;;;4;1;10;;;;;2;;;;;;;;;;;;;;
Como, via Benzi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;1;;;;;;;;2;;;;;;8;1;;;9;15;;1;;;1;;;;;;;;;;;
Albenga, via Pontelungo;Roman;Liguria;Northern Italy;R;Necropolis;Coast;0.2000;-1;3;1;6;;;1;;;;;12;;;;;;;;1;1;653;;;225;21;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 1;Roman;Basilicata;Southern Italy;R;Rural site, villa;Mountain;0.3333;1;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
