Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Desenzano, loc. Faustinella;Late Roman;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;10.538694;45.4694851;1;2;7;8;1;1;6;11;;103;1;;;;;;;;60;;;;;263;;;;;;;;2;;;;;;;;
Desenzano, loc. Faustinella;Late Roman;Lombardia;Northern Italy;EMA;Rural;Plain;0.5000;5;6;10.538694;45.4694851;1;2;7;8;1;1;6;11;;103;1;;;;;;;;60;;;;;263;;;;;;;;2;;;;;;;;
Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Late Roman;Lombardia;Northern Italy;LR;Urban;Plain;0.2500;3;6;9.508719072826871;45.43117278804427;1;;;1;2;2;2;2;;1;;;1;2;;2;;;22;1;;;499;3583;;;;;;;576;1;;;297;2;;37;1;
Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Late Roman;Lombardia;Northern Italy;EMA;Urban;Plain;0.2500;3;6;9.508719072826871;45.43117278804427;1;;;1;2;2;2;2;;1;;;1;2;;2;;;22;1;;;499;3583;;;;;;;576;1;;;297;2;;37;1;
Monte Barro;Goth;Lombardia;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;9.369320317683991;45.83092616011957;2017;;1;6;90;76;;5;;;3;;2;32;148;;;;73;18;510;;;16;;11;;;;10000;1;;;;;;;;;
Monte Barro;Goth;Lombardia;Northern Italy;EMA;Castrum;Mountain;0.5000;5;6;9.369320317683991;45.83092616011957;2017;;1;6;90;76;;5;;;3;;2;32;148;;;;73;18;510;;;16;;11;;;;10000;1;;;;;;;;;
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;10.916720914052336;45.866429428008345;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Castrum;Mountain;0.5000;5;6;10.916720914052336;45.866429428008345;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;8.797278548240513;45.1221589340304;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;EMA;Rural;Plain;0.5000;5;6;8.797278548240513;45.1221589340304;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
