ID;Site;Culture;Type;Chronology;Geo;weight;Region;Macroregion;From Century;To Century;Reference;X;Y;Pigs;Cattle;Caprine;Dom. Fowl;Edible W. Mammals;Fish;Mollusca;Unedible Dom. Mammals;Unedible Wild Mammals
1;Calvatone-Bedriacum, 4th-5th c. CE;Late Roman;Urban;LR;Plain;0.5000;Lombardia;Northern Italy;4;5;Wilkens 1990;10.44266062805678;45.128482674895764;47;919;16;0;0;0;1;0;0
3;Asti, via dei Varroni;Late Roman;Urban;LR;Hill;0.3333;Piemonte;Northern Italy;4;6;Bedini 2000a;8.19620720389786;44.900005850231125;28;28;19;5;1;0;;1;0
3;Asti, via dei Varroni;Late Roman;Urban;EMA;Hill;0.3333;Piemonte;Northern Italy;4;6;Bedini 2000a;8.19620720389786;44.900005850231125;28;28;19;5;1;0;;1;0
5;Trezzo sull'Adda, Cascina S. Martino. 4th-6th c.;Lombard;Urban;LR;Plain;0.3333;Lombardia;Northern Italy;4;6;Di Martino 2012;9.508719072826871;45.43117278804427;45;28;8;8;34;2;1;0;0
5;Trezzo sull'Adda, Cascina S. Martino. 4th-6th c.;Lombard;Urban;EMA;Plain;0.3333;Lombardia;Northern Italy;4;6;Di Martino 2012;9.508719072826871;45.43117278804427;45;28;8;8;34;2;1;0;0
6;Monte Barro;Goth;Castrum;LR;Mountain;0.5000;Lombardia;Northern Italy;5;6;Baker 1991;9.369320317683991;45.83092616011957;744;143;373;90;63;96;18;1;1
6;Monte Barro;Goth;Castrum;EMA;Mountain;0.5000;Lombardia;Northern Italy;5;6;Baker 1991;9.369320317683991;45.83092616011957;744;143;373;90;63;96;18;1;1
7;Loppio, Isola S. Andrea;Lombard;Castrum;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;5;6;Marconi et al 2010;10.916720914052336;45.866429428008345;507;132;423;215;42;97;57;0;0
7;Loppio, Isola S. Andrea;Lombard;Castrum;EMA;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;5;6;Marconi et al 2010;10.916720914052336;45.866429428008345;507;132;423;215;42;97;57;0;0
8;Lomello, villa Maria;Early Medieval;Rural;LR;Plain;0.5000;Lombardia;Northern Italy;5;6;King 1987;8.797278548240513;45.1221589340304;87;71;95;10;0;22;;1;0
8;Lomello, villa Maria;Early Medieval;Rural;EMA;Plain;0.5000;Lombardia;Northern Italy;5;6;King 1987;8.797278548240513;45.1221589340304;87;71;95;10;0;22;;1;0
10;Parma, Piazza Garibaldi;Early Medieval;Urban;LR;Plain;0.3333;Emilia-Romagna;Northern Italy;5;7;Farello 2012;10.326509377765523;44.80082986532667;71;138;75;11;2;0;;9;0
10;Parma, Piazza Garibaldi;Early Medieval;Urban;EMA;Plain;0.3333;Emilia-Romagna;Northern Italy;5;7;Farello 2012;10.326509377765523;44.80082986532667;71;138;75;11;2;0;;9;0
11;Alba, via Vernazza, 5th-7th c.;Early Medieval;Urban;LR;Plain;0.3333;Piemonte;Northern Italy;5;7;Bedini 1999;8.035517884938363;44.702322003129915;14;12;9;4;0;0;;1;0
11;Alba, via Vernazza, 5th-7th c.;Early Medieval;Urban;EMA;Plain;0.3333;Piemonte;Northern Italy;5;7;Bedini 1999;8.035517884938363;44.702322003129915;14;12;9;4;0;0;;1;0
11;Alba, via Vernazza, 11th-12th c.;Medieval;Urban;Ma;Plain;0.5000;Piemonte;Northern Italy;11;12;Bedini 1999;8.035517884938363;44.702322003129915;40;42;50;4;0;0;;0;0
