site_code;site_name;type_name;region_name;Chronology;data_valid_start;data_valid_end;weight;sampling_notes;extra_notes;short_ref;culture_type;x;y;Triticum aestivum/durum;Triticum dicoccum;Triticum monococcum;Avena sp;Hordeum vulgare;Panicum milliaceum;Secale cereale;Setaria italica;Sorghum bicolor;Cerealia ind;Leguminosae;Lens culinaris;Pisum sativum;Vicia faba;Vicia sativa;Vicia sp;Lathyrus cicera/sativus;Cicer aretinum;Cornus mas;Corylus avellana;Ficus carica;Fragaria vesca;Juglans regia;Castanea sativa;Malus domestica;Olea europaea L;Prunus cerasus;Prunus avium;Prunus sp;Prunus persica;Prunus domestica;Prunus spinosa;Rubus fruticosus;Pyrus communis;Sambucus nigra;Cucumis melo;Vitis vinifera;Linum usatissimus;Sorbus sp
4;Pompei, IX 8;Urban;Campania;R;1;1;1.0000;Pompei, IX 8;;Carra 2017;Roman;14.48778106818106;40.752375998948736;;1;;;;;;;;;;;;6;;;;;;1;1;;;;;389;;;;;;;;;;;4;;
35;Vada Sabatia, layer V;Rural site, villa;Liguria;R;1;2;0.5000;"Well fill. Sample size: 10l. Total concentration: 164 Composite (see Pearsall 2000); both waterlogged and charred fossilisation";Layer V chronology: A dark pottery cooking pot with down- turned perimeter, of a pattern found from the first to the second centuries AD, containing food residues, was unearthed. The pottery was dated to 50–100 AD (the Antonine period), and its presence dates to the earliest use of the well to the end of the first and second centuries AD.;Arobba et al 2013;Roman;8.433361957253506;44.264927584208856;;;;1;;;;;;;;;;;;;;;;1;107;;8;2;2;5;;;2;1;1;;;;;;9;6;
35;Vada Sabatia, layers III-IV;Rural site, villa;Liguria;R;2;3;0.5000;"Well fill. Sample size: 10 liters. Total concentration (layer IV): 80; Total concentration (layer III): 104 Composite sampling. Fossilisation: both waterlogged and charred";Layers III-IV: These two levels, dated to the second to third centuries AD, were composed of a finer light-coloured sedi- ment, without building rubble, indicating that the well had been abandoned as a source of water.;Arobba et al 2013;Roman;8.433361957253506;44.264927584208856;;;;;2;1;1;;;;;1;;;;1;;;;2;99;;3;2;;3;1;;3;2;;;;;4;;7;3;
36;Finale ligure, Pieve del Finale;Rural;Liguria;R;1;1;1.0000;from an emergency excavation, there was not a sampling strategy. Just a few seeds recovered, mostly Vicia faba;;Arobba and Murialdo 1996;Roman;8.330560129332445;44.17330298343464;;1;;;;;;;;;;;;513;;;;;;1;;;12;;;;;;;;;;;;;;;;
37;Augusta Bagiennorum, 1st c.;Urban;Piemonte;R;1;1;1.0000;;The results on this row are the combination of layers 159, 43, 59. The remains were too few to create single rows;Caramiello et al 2014;Roman;7.854607320406077;44.55936193040618;;1;;;;;;;;8;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;
37;Augusta Bagiennorum, 2nd-3rd c.;Urban;Piemonte;R;2;3;0.5000;;The results on this row are the combination of layers: 38, 39, 44, 51, 60, 609;Caramiello et al 2014;Roman;7.854607320406077;44.55936193040618;;;1;;;;;;;8;;;;;;1;;;;3;;;;;;;;;;;;;;;;;;;
38;Mezzocorona, loc. Drei Canè;Rural;Trentino-Alto Adige/Südtirol;R;-1;5;0.1429;A good sampling strategy, from 22 layers and a good explaination by the authors about how they identified the taxa;This row does not include fragments;Castiglioni and Rottoli 1994;Roman;11.120527702600489;46.203081828249424;61;22;4;;53;27;;3;;62;;8;;3;8;11;1;;;2;;;10;;;;;;;3;;;1;;1;;144;;
39;Bergamo, Palazzo del Podestà;Urban;Lombardia;R;-1;1;0.3333;The volume of the sample has not been recorded;;Pini et al 2017;Roman;9.662534463874083;45.704116703419245;61;;5;4;15;;6;2086;;26;;;;49;;173;;;;;;;58;1;;;;;;;;;;;;;;;
40;Ventimiglia, sito di Albintimilium;Urban;Liguria;R;2;3;0.5000;from three planters;;Arobba et al 2005;Roman;7.625077832623806;43.78922984798364;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;12;;
60;Case Nuove, Cinigiano, Phase 1.2;Rural;Toscana;R;1;1;1.0000;Case Nuove: from the fill of the tank (US 5014);Ruderals, wet environments, other environments plants are included.;Mercuri et al 2020a;Roman;11.34589342010911;42.89164959900157;1;;;;1;;;;;2;;5;;;;;;;;;;;;;;9;;;;;;;;;;;10;;
