"","Chronology","Type","Macroregion","Weight","Common.Wheat","Emmer","Einkorn","Oats","Barley","Rye","Proso.millet","Foxtail.millet","Sorghum","Unsp..cereals"
"1","EMA","Rural","Northern Italy",0.5,1,1,1,1,1,1,1,1,0,1
"2","EMA","Urban","Northern Italy",0.25,1,0,0,1,1,1,1,1,0,1
"3","EMA","Castle/Castrum/Castrum","Northern Italy",0.5,1,0,1,1,1,1,0,1,0,0
"4","EMA","Castle/Castrum/Castrum","Northern Italy",0.5,1,0,1,1,1,1,1,1,1,1
"5","EMA","Rural","Northern Italy",0.5,1,0,1,1,1,1,1,0,0,0
"6","EMA","Rural","Northern Italy",0.5,1,0,0,0,1,0,0,0,0,1
"7","EMA","Urban","Northern Italy",0.5,1,1,1,0,1,1,1,0,0,1
"8","EMA","Urban","Northern Italy",0.5,1,1,1,0,1,0,1,1,0,1
"9","EMA","Castle/Castrum/Castrum","Northern Italy",0.5,0,0,0,0,1,0,1,0,0,0
"10","EMA","Urban","Northern Italy",1,1,0,1,0,1,0,1,0,0,0
"11","EMA","Rural","Northern Italy",1,1,1,0,1,1,0,0,0,0,1
"12","EMA","Rural","Northern Italy",0.3333,1,1,0,0,1,0,1,0,0,1
"13","EMA","Rural","Northern Italy",0.3333,1,1,1,0,1,1,1,1,1,1
"14","EMA","Urban","Northern Italy",0.5,1,0,0,1,0,0,0,0,0,0
"15","EMA","Urban","Northern Italy",0.5,0,1,0,0,1,0,0,1,0,1
"16","EMA","Urban","Northern Italy",0.5,1,0,0,0,0,0,0,1,0,1
"17","EMA","Urban","Northern Italy",0.3333,1,1,0,1,1,0,0,0,0,1
"18","EMA","Rural","Northern Italy",0.5,0,0,0,0,0,0,1,1,1,0
"19","EMA","Rural","Northern Italy",0.5,1,0,0,1,0,0,1,0,0,1
"20","EMA","Urban","Central Italy",0.3333,1,1,1,1,1,1,1,0,0,0
"21","EMA","Urban","Southern Italy",0.25,1,1,0,1,1,0,1,0,0,1
"22","EMA","Rural","Southern Italy",1,1,0,0,0,0,0,1,0,0,1
"23","EMA","Rural","Southern Italy",0.5,1,0,0,0,1,0,0,0,0,1
"24","EMA","Urban","Northern Italy",1,1,0,0,0,1,1,0,1,0,1
"25","EMA","Urban","Northern Italy",0.5,1,1,1,1,0,1,1,1,0,0
"26","EMA","Urban","Northern Italy",0.5,1,1,1,1,1,1,1,1,1,1
"27","EMA","Religious","Northern Italy",0.5,1,1,1,1,1,1,1,1,0,1
"28","EMA","Urban","Northern Italy",0.5,1,1,1,1,1,1,0,1,1,1
"29","EMA","Necropolis","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,1
"30","EMA","Rural","Central Italy",0.5,1,1,1,1,1,1,0,1,0,1
"31","EMA","Rural","Central Italy",0.5,1,0,1,1,1,1,0,1,0,1
"32","EMA","Castle/Castrum/Castrum","Central Italy",0.5,1,1,0,0,1,0,0,0,0,0
"33","EMA","Rural","Northern Italy",0.3333,0,0,0,0,0,0,0,0,0,0
"34","EMA","Rural","Northern Italy",0.25,1,1,1,1,1,1,1,1,0,1
"35","EMA","Rural","Northern Italy",0.125,1,0,1,0,0,0,0,0,0,1
"36","EMA","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"37","EMA","Rural","Northern Italy",0.1667,1,0,0,0,1,0,0,1,1,1
"38","EMA","Rural","Central Italy",0.5,1,1,1,0,1,0,0,0,0,1
"39","EMA","Urban","Central Italy",0.5,1,0,0,0,1,0,0,0,0,0
"40","EMA","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,0
"41","EMA","Urban","Southern Italy",1,1,0,0,1,0,0,0,0,0,1
"42","EMA","Urban","Southern Italy",0.5,0,1,0,0,0,0,0,0,0,1
"43","EMA","Urban","Southern Italy",1,0,0,0,0,1,0,0,0,0,1
"44","EMA","Urban","Southern Italy",0.5,1,1,1,0,0,0,0,0,0,1
"45","EMA","Rural","Southern Italy",1,0,1,0,0,1,0,0,0,0,1
"46","EMA","Rural","Southern Italy",1,1,1,0,1,1,0,0,0,0,1
"47","EMA","Rural","Northern Italy",0.5,1,0,0,1,1,1,1,0,0,0
"48","EMA","Rural","Central Italy",0.5,1,1,1,1,1,1,1,0,0,1
"49","EMA","Rural","Central Italy",0.5,1,1,1,1,1,1,1,1,1,1
"50","EMA","Castle/Castrum/Castrum","Central Italy",0.5,1,1,1,1,1,1,1,1,0,1
"51","EMA","Rural","Central Italy",0.3333,1,1,0,0,1,0,0,0,0,1
"52","EMA","Urban","Southern Italy",0.5,1,0,0,0,1,0,1,0,0,1
"53","EMA","Castle/Castrum/Castrum","Northern Italy",0.3333,1,1,0,1,1,1,0,1,0,1
"54","EMA","Religious","Southern Italy",1,1,1,0,0,1,0,0,0,0,0
"55","EMA","Rural","Southern Italy",0.5,1,0,0,1,1,0,0,0,0,0
"56","EMA","Rural","Southern Italy",0.5,1,0,0,0,1,0,0,0,0,0
"57","EMA","Rural","Southern Italy",0.5,1,0,0,0,1,0,0,0,0,0
"58","EMA","Rural","Southern Italy",0.5,1,1,0,1,1,0,0,0,0,1
"59","EMA","Rural","Southern Italy",0.5,1,1,0,0,1,0,0,0,0,1
"60","EMA","Urban","Northern Italy",0.5,1,1,0,1,1,0,1,1,1,0
"61","EMA","Castle/Castrum/Castrum","Northern Italy",0.5,1,1,1,1,1,1,1,1,1,0
"62","EMA","Urban","Northern Italy",0.5,1,0,0,0,1,1,1,0,0,1
"63","EMA","Urban","Northern Italy",0.5,1,0,0,1,1,1,1,0,0,1
