"","Chronology","Type","Macroregion","Weight","Common.Wheat","Emmer","Einkorn","Oats","Barley","Rye","Proso.millet","Foxtail.millet","Sorghum","Unsp..cereals"
"1","LR","Rural","Northern Italy",0.5,1,1,1,1,1,1,1,1,0,1
"2","LR","Urban","Northern Italy",0.25,1,0,0,1,1,1,1,1,0,1
"3","LR","Castle/Castrum/Castrum","Northern Italy",0.5,1,0,1,1,1,1,0,1,0,0
"4","LR","Castle/Castrum/Castrum","Northern Italy",0.5,1,0,1,1,1,1,1,1,1,1
"5","LR","Rural","Northern Italy",0.5,1,0,1,1,1,1,1,0,0,0
"6","LR","Rural","Northern Italy",0.5,1,0,0,0,1,0,0,0,0,1
"7","LR","Urban","Northern Italy",0.5,1,1,0,0,1,0,0,0,0,1
"8","LR","Urban","Northern Italy",0.5,0,1,0,0,1,0,0,1,0,1
"9","LR","Rural","Northern Italy",0.5,1,0,0,0,0,1,0,1,0,1
"10","LR","Urban","Northern Italy",0.5,1,0,0,0,0,0,0,1,0,1
"11","LR","Urban","Northern Italy",0.3333,1,1,0,1,1,0,0,0,0,1
"12","LR","Rural","Northern Italy",0.5,0,0,0,0,0,0,1,1,1,0
"13","LR","Rural","Northern Italy",0.5,1,0,0,1,0,0,1,0,0,1
"14","LR","Rural","Northern Italy",1,1,1,0,0,1,1,0,0,0,0
"15","LR","Rural","Northern Italy",0.5,1,1,0,0,0,0,0,0,0,0
"16","LR","Urban","Northern Italy",0.5,0,0,1,0,0,0,0,0,0,1
"17","LR","Rural","Northern Italy",0.1429,1,1,1,0,1,0,1,1,0,1
"18","LR","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"19","LR","Rural","Central Italy",1,0,0,0,0,0,0,0,0,0,0
"20","LR","Rural","Central Italy",0.5,1,1,1,0,1,0,0,0,0,1
"21","LR","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,1,0,0
"22","LR","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,1,0,0
"23","LR","Necropolis","Northern Italy",0.2,1,0,0,0,0,0,1,1,0,1
"24","LR","Necropolis","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"25","LR","Necropolis","Northern Italy",0.2,0,0,0,0,1,0,0,1,0,1
"26","LR","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,0,0,0
"27","LR","Necropolis","Northern Italy",0.2,0,0,1,0,0,0,0,1,0,1
"28","LR","Necropolis","Northern Italy",0.2,1,0,1,0,0,1,1,1,0,1
"29","LR","Necropolis","Northern Italy",0.2,1,1,0,0,1,0,0,0,0,1
"30","LR","Urban","Central Italy",1,1,1,0,1,1,0,0,0,0,0
"31","LR","Rural","Southern Italy",0.3333,0,0,0,0,0,0,0,0,0,1
"32","LR","Rural","Southern Italy",1,0,0,0,0,0,0,0,0,0,1
"33","LR","Rural","Southern Italy",0.5,1,0,0,0,1,0,0,0,0,1
"34","LR","Urban","Northern Italy",0.5,1,1,1,1,0,1,1,1,0,0
"35","LR","Urban","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"36","LR","Urban","Northern Italy",0.5,1,1,1,1,1,1,1,1,1,1
"37","LR","Urban","Northern Italy",0.5,0,1,1,0,0,0,0,0,0,0
"38","LR","Rural","Northern Italy",0.3333,0,0,0,0,0,0,0,0,0,0
"39","LR","Urban","Northern Italy",1,1,1,1,1,1,0,0,0,0,1
"40","LR","Rural","Northern Italy",0.25,1,1,1,1,1,1,1,1,0,1
"41","LR","Rural","Northern Italy",0.5,0,1,0,1,0,0,0,0,0,1
"42","LR","Rural","Northern Italy",0.125,1,0,1,0,0,0,0,0,0,1
"43","LR","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"44","LR","Necropolis","Northern Italy",0.25,0,1,1,0,1,0,1,1,0,1
"45","LR","Rural","Central Italy",0.5,1,0,0,0,1,0,1,1,0,0
"46","LR","Urban","Central Italy",0.5,0,1,0,0,1,0,0,0,0,0
"47","LR","Rural","Central Italy",0.5,1,1,1,0,1,0,0,0,0,1
"48","LR","Urban","Southern Italy",0.5,0,1,0,0,0,0,0,0,0,1
"49","LR","Urban","Southern Italy",1,1,1,0,0,1,0,0,0,0,1
"50","LR","Urban","Southern Italy",0.5,0,1,0,0,0,0,0,0,0,1
"51","LR","Rural","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"52","LR","Rural","Central Italy",0.3333,1,1,0,0,1,0,0,0,0,1
"53","LR","Rural","Central Italy",0.5,1,0,0,0,0,0,0,0,0,1
"54","LR","Rural","Northern Italy",1,0,0,1,0,0,0,0,0,1,1
"55","LR","Rural","Southern Italy",0.5,1,0,1,1,1,0,0,0,0,1
"56","LR","Rural","Southern Italy",1,1,0,0,0,1,0,0,0,0,1
"57","LR","Castle/Castrum/Castrum","Northern Italy",0.3333,1,1,0,1,1,1,0,1,0,1
