"","Chronology","Type","Macroregion","Weight","Common.Wheat","Emmer","Einkorn","Oats","Barley","Rye","Proso.millet","Foxtail.millet","Sorghum","Unsp..cereals"
"1","R","Urban","Southern Italy",1,0,1,0,0,0,0,0,0,0,0
"2","R","Rural","Northern Italy",0.5,0,0,0,1,0,0,0,0,0,0
"3","R","Rural","Northern Italy",0.5,0,0,0,0,1,1,1,0,0,0
"4","R","Rural","Northern Italy",1,0,1,0,0,0,0,0,0,0,0
"5","R","Urban","Northern Italy",1,0,1,0,0,0,0,0,0,0,1
"6","R","Urban","Northern Italy",0.5,0,0,1,0,0,0,0,0,0,1
"7","R","Rural","Northern Italy",0.1429,1,1,1,0,1,0,1,1,0,1
"8","R","Urban","Northern Italy",0.3333,1,0,1,1,1,1,0,1,0,1
"9","R","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"10","R","Rural","Central Italy",1,1,0,0,0,1,0,0,0,0,1
"11","R","Urban","Northern Italy",0.3333,1,1,1,1,1,0,1,0,0,1
"12","R","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,1,0,0
"13","R","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,1,0,0
"14","R","Necropolis","Northern Italy",0.2,1,0,0,0,0,0,1,1,0,1
"15","R","Necropolis","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"16","R","Necropolis","Northern Italy",0.2,0,0,0,0,1,0,0,1,0,1
"17","R","Necropolis","Northern Italy",0.2,0,0,0,0,0,0,0,0,0,0
"18","R","Necropolis","Northern Italy",0.2,0,0,1,0,0,0,0,1,0,1
"19","R","Necropolis","Northern Italy",0.2,0,0,0,0,1,0,0,0,0,0
"20","R","Necropolis","Northern Italy",0.2,1,1,0,0,1,0,0,0,0,1
"21","R","Rural","Southern Italy",0.3333,0,0,0,0,0,0,0,0,0,1
"22","R","Religious","Northern Italy",1,0,0,0,0,0,1,0,0,0,1
"23","R","Urban","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"24","R","Rural","Northern Italy",0.25,0,0,0,0,0,0,0,1,0,0
"25","R","Urban","Northern Italy",0.5,1,1,0,0,1,0,0,0,0,1
"26","R","Urban","Northern Italy",0.5,0,1,1,0,0,0,0,0,0,0
"27","R","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"28","R","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"29","R","Urban","Northern Italy",0.5,0,0,0,0,0,0,0,0,0,0
"30","R","Necropolis","Northern Italy",1,1,1,0,0,1,0,0,0,0,1
"31","R","Necropolis","Northern Italy",0.5,1,0,0,1,0,0,0,0,0,1
"32","R","Rural","Northern Italy",0.125,1,0,1,0,0,0,0,0,0,1
"33","R","Necropolis","Northern Italy",0.25,0,1,1,0,1,0,1,1,0,1
"34","R","Urban","Northern Italy",1,1,1,1,1,1,1,0,0,0,1
"35","R","Urban","Southern Italy",1,0,1,0,0,1,0,0,0,0,1
"36","R","Urban","Southern Italy",1,1,0,0,0,1,0,1,0,0,1
"37","R","Urban","Southern Italy",1,0,0,0,0,0,0,1,0,0,0
"38","R","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,0
"39","R","Urban","Southern Italy",1,0,0,0,0,1,0,1,1,0,1
"40","R","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,0
"41","R","Urban","Southern Italy",1,0,0,0,0,1,0,0,0,0,1
"42","R","Urban","Southern Italy",1,0,0,0,0,0,0,1,0,0,1
"43","R","Urban","Southern Italy",1,1,0,0,0,0,0,0,1,0,0
"44","R","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,0
"45","R","Religious","Southern Italy",1,1,1,0,0,1,0,1,1,0,1
"46","R","Religious","Southern Italy",1,1,1,0,0,1,0,1,1,0,1
"47","R","Urban","Southern Italy",1,0,0,0,0,1,0,0,1,0,1
"48","R","Urban","Southern Italy",1,0,0,0,0,0,0,1,0,0,1
"49","R","Urban","Southern Italy",1,0,0,0,0,1,0,1,0,0,1
"50","R","Urban","Southern Italy",1,1,0,0,0,1,0,1,0,0,1
"51","R","Urban","Southern Italy",1,0,1,1,0,0,0,1,0,0,1
"52","R","Urban","Southern Italy",1,1,1,0,0,0,0,1,1,0,1
"53","R","Urban","Southern Italy",1,1,1,0,0,0,0,0,1,0,1
